Category: All categories

Month,immigrant crime + immigrant criminal + immigrant murder + immigrant kill: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,47
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,27
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,28
2006-05,43
2006-06,0
2006-07,29
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,32
2007-01,27
2007-02,0
2007-03,25
2007-04,20
2007-05,28
2007-06,18
2007-07,21
2007-08,24
2007-09,17
2007-10,15
2007-11,28
2007-12,23
2008-01,13
2008-02,28
2008-03,28
2008-04,18
2008-05,22
2008-06,0
2008-07,23
2008-08,19
2008-09,13
2008-10,14
2008-11,21
2008-12,14
2009-01,0
2009-02,17
2009-03,0
2009-04,30
2009-05,17
2009-06,0
2009-07,12
2009-08,0
2009-09,10
2009-10,17
2009-11,13
2009-12,16
2010-01,10
2010-02,11
2010-03,13
2010-04,36
2010-05,48
2010-06,17
2010-07,20
2010-08,14
2010-09,15
2010-10,18
2010-11,15
2010-12,11
2011-01,12
2011-02,13
2011-03,13
2011-04,15
2011-05,10
2011-06,17
2011-07,9
2011-08,11
2011-09,12
2011-10,15
2011-11,13
2011-12,12
2012-01,6
2012-02,12
2012-03,9
2012-04,16
2012-05,11
2012-06,11
2012-07,8
2012-08,11
2012-09,7
2012-10,8
2012-11,12
2012-12,8
2013-01,10
2013-02,9
2013-03,10
2013-04,13
2013-05,11
2013-06,8
2013-07,6
2013-08,7
2013-09,11
2013-10,12
2013-11,9
2013-12,9
2014-01,8
2014-02,10
2014-03,11
2014-04,13
2014-05,12
2014-06,9
2014-07,13
2014-08,10
2014-09,12
2014-10,15
2014-11,12
2014-12,12
2015-01,10
2015-02,11
2015-03,13
2015-04,14
2015-05,10
2015-06,11
2015-07,70
2015-08,35
2015-09,26
2015-10,23
2015-11,27
2015-12,12
2016-01,20
2016-02,21
2016-03,30
2016-04,22
2016-05,23
2016-06,24
2016-07,28
2016-08,16
2016-09,29
2016-10,28
2016-11,49
2016-12,22
2017-01,60
2017-02,100
2017-03,84
2017-04,36
2017-05,25
2017-06,19
2017-07,18
2017-08,14
2017-09,21
2017-10,23
2017-11,22
2017-12,45
2018-01,39
2018-02,41
2018-03,27
2018-04,30
2018-05,24
2018-06,76
2018-07,34
2018-08,75
2018-09,21
2018-10,36
2018-11,46
2018-12,40
2019-01,89
2019-02,56
2019-03,31
2019-04,25
2019-05,26
2019-06,23
2019-07,26
2019-08,24
2019-09,19
2019-10,17
2019-11,21
2019-12,17
