Category: All categories

Month,immigrant welfare + immigrant cost + immigrant benefits: (United States),immigrant crime + immigrant criminal + immigrant murder + immigrant kill: (United States),report immigrant + report immigration + report illegals + report illegal alien + report to ice: (United States)
2004-01,0,0,0
2004-02,0,0,34
2004-03,0,0,0
2004-04,0,0,59
2004-05,0,0,38
2004-06,0,0,44
2004-07,0,0,39
2004-08,0,0,30
2004-09,0,0,42
2004-10,0,0,27
2004-11,0,0,56
2004-12,0,0,45
2005-01,0,0,34
2005-02,0,0,56
2005-03,0,0,40
2005-04,0,0,37
2005-05,0,0,47
2005-06,0,23,28
2005-07,0,0,36
2005-08,0,0,39
2005-09,0,0,53
2005-10,17,0,47
2005-11,20,0,31
2005-12,17,20,40
2006-01,0,0,47
2006-02,20,0,46
2006-03,13,0,46
2006-04,38,23,63
2006-05,31,28,65
2006-06,0,0,51
2006-07,0,0,47
2006-08,12,0,43
2006-09,13,0,40
2006-10,22,0,41
2006-11,15,0,43
2006-12,16,0,51
2007-01,0,0,37
2007-02,0,15,49
2007-03,10,9,45
2007-04,21,11,48
2007-05,20,15,52
2007-06,13,10,74
2007-07,9,14,55
2007-08,8,9,51
2007-09,14,0,53
2007-10,18,8,42
2007-11,20,8,66
2007-12,14,15,53
2008-01,0,0,48
2008-02,15,11,51
2008-03,14,15,50
2008-04,15,14,55
2008-05,18,13,51
2008-06,8,0,48
2008-07,10,12,37
2008-08,13,11,48
2008-09,0,8,45
2008-10,14,10,49
2008-11,16,15,40
2008-12,6,11,43
2009-01,11,0,41
2009-02,17,13,50
2009-03,15,0,40
2009-04,14,16,52
2009-05,13,8,45
2009-06,12,0,40
2009-07,12,6,42
2009-08,9,6,46
2009-09,9,7,34
2009-10,12,13,44
2009-11,13,6,44
2009-12,9,7,33
2010-01,8,0,41
2010-02,10,7,41
2010-03,12,10,43
2010-04,14,18,56
2010-05,19,25,64
2010-06,15,10,46
2010-07,6,11,54
2010-08,10,8,46
2010-09,10,6,45
2010-10,11,9,41
2010-11,12,5,45
2010-12,9,8,38
2011-01,12,9,54
2011-02,10,8,49
2011-03,10,8,52
2011-04,13,8,50
2011-05,10,5,47
2011-06,10,10,50
2011-07,10,6,50
2011-08,9,6,54
2011-09,9,6,45
2011-10,12,11,53
2011-11,11,6,50
2011-12,8,7,43
2012-01,11,6,51
2012-02,15,5,44
2012-03,10,4,43
2012-04,13,9,43
2012-05,11,6,52
2012-06,10,6,48
2012-07,6,5,47
2012-08,8,6,39
2012-09,9,5,40
2012-10,12,4,40
2012-11,11,6,37
2012-12,10,5,41
2013-01,8,6,49
2013-02,11,6,41
2013-03,11,6,39
2013-04,14,8,46
2013-05,12,7,47
2013-06,6,4,46
2013-07,5,3,39
2013-08,5,4,40
2013-09,11,6,35
2013-10,11,6,36
2013-11,10,7,35
2013-12,10,5,38
2014-01,8,4,43
2014-02,9,6,43
2014-03,10,6,46
2014-04,10,8,41
2014-05,10,8,35
2014-06,9,6,37
2014-07,12,7,55
2014-08,9,6,41
2014-09,12,7,39
2014-10,13,8,38
2014-11,13,7,48
2014-12,10,7,36
2015-01,8,7,38
2015-02,9,7,41
2015-03,11,7,35
2015-04,10,6,36
2015-05,7,5,30
2015-06,6,6,34
2015-07,10,42,39
2015-08,13,19,40
2015-09,20,15,37
2015-10,16,13,35
2015-11,14,15,38
2015-12,13,8,40
2016-01,11,11,46
2016-02,13,11,39
2016-03,15,18,37
2016-04,16,13,41
2016-05,16,13,41
2016-06,11,14,40
2016-07,8,16,34
2016-08,11,9,32
2016-09,15,16,39
2016-10,17,15,32
2016-11,23,27,45
2016-12,11,13,40
2017-01,20,34,59
2017-02,42,57,100
2017-03,21,49,72
2017-04,16,21,57
2017-05,15,15,54
2017-06,12,10,52
2017-07,10,11,44
2017-08,12,8,47
2017-09,18,11,44
2017-10,12,13,46
2017-11,14,13,43
2017-12,12,26,46
2018-01,21,22,65
2018-02,20,23,58
2018-03,19,16,49
2018-04,15,17,51
2018-05,13,14,50
2018-06,35,44,83
2018-07,19,18,54
2018-08,18,42,57
2018-09,16,13,51
2018-10,22,20,50
2018-11,26,27,49
2018-12,29,23,63
2019-01,36,52,89
2019-02,23,30,67
2019-03,15,18,51
2019-04,16,15,55
2019-05,16,14,48
2019-06,20,14,58
2019-07,19,15,65
2019-08,18,13,51
2019-09,14,10,47
2019-10,15,9,44
2019-11,13,12,39
2019-12,11,10,44
