Category: All categories

Month,report immigrant + report immigration + report illegals + report illegal alien + report to ice: (United States)
2004-01,37
2004-02,38
2004-03,0
2004-04,41
2004-05,56
2004-06,37
2004-07,37
2004-08,39
2004-09,49
2004-10,42
2004-11,51
2004-12,40
2005-01,40
2005-02,58
2005-03,49
2005-04,0
2005-05,40
2005-06,45
2005-07,35
2005-08,29
2005-09,73
2005-10,40
2005-11,39
2005-12,40
2006-01,40
2006-02,41
2006-03,51
2006-04,71
2006-05,76
2006-06,54
2006-07,47
2006-08,38
2006-09,51
2006-10,42
2006-11,44
2006-12,46
2007-01,36
2007-02,44
2007-03,47
2007-04,39
2007-05,57
2007-06,68
2007-07,49
2007-08,55
2007-09,54
2007-10,47
2007-11,63
2007-12,52
2008-01,52
2008-02,52
2008-03,50
2008-04,54
2008-05,50
2008-06,49
2008-07,39
2008-08,49
2008-09,46
2008-10,51
2008-11,33
2008-12,40
2009-01,37
2009-02,52
2009-03,40
2009-04,52
2009-05,44
2009-06,40
2009-07,42
2009-08,42
2009-09,39
2009-10,44
2009-11,45
2009-12,33
2010-01,43
2010-02,42
2010-03,41
2010-04,58
2010-05,65
2010-06,49
2010-07,56
2010-08,47
2010-09,50
2010-10,42
2010-11,47
2010-12,39
2011-01,54
2011-02,51
2011-03,53
2011-04,51
2011-05,49
2011-06,48
2011-07,53
2011-08,53
2011-09,44
2011-10,53
2011-11,53
2011-12,43
2012-01,51
2012-02,46
2012-03,43
2012-04,43
2012-05,55
2012-06,45
2012-07,43
2012-08,40
2012-09,41
2012-10,44
2012-11,39
2012-12,42
2013-01,47
2013-02,43
2013-03,39
2013-04,47
2013-05,47
2013-06,48
2013-07,40
2013-08,40
2013-09,35
2013-10,38
2013-11,37
2013-12,38
2014-01,43
2014-02,44
2014-03,47
2014-04,41
2014-05,36
2014-06,38
2014-07,54
2014-08,41
2014-09,41
2014-10,36
2014-11,48
2014-12,36
2015-01,39
2015-02,42
2015-03,33
2015-04,37
2015-05,30
2015-06,35
2015-07,38
2015-08,40
2015-09,38
2015-10,37
2015-11,38
2015-12,41
2016-01,47
2016-02,40
2016-03,38
2016-04,41
2016-05,42
2016-06,41
2016-07,34
2016-08,34
2016-09,39
2016-10,33
2016-11,47
2016-12,41
2017-01,60
2017-02,100
2017-03,73
2017-04,57
2017-05,54
2017-06,53
2017-07,44
2017-08,48
2017-09,45
2017-10,45
2017-11,44
2017-12,46
2018-01,67
2018-02,58
2018-03,50
2018-04,52
2018-05,50
2018-06,84
2018-07,54
2018-08,57
2018-09,49
2018-10,50
2018-11,51
2018-12,64
2019-01,89
2019-02,68
2019-03,50
2019-04,55
2019-05,49
2019-06,57
2019-07,65
2019-08,53
2019-09,49
2019-10,44
2019-11,41
2019-12,44
