Category: All categories

Month,immigrant welfare + immigrant cost + immigrant benefits: (United States)
2004-01,75
2004-02,0
2004-03,0
2004-04,100
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,51
2005-10,0
2005-11,49
2005-12,0
2006-01,0
2006-02,40
2006-03,37
2006-04,78
2006-05,86
2006-06,31
2006-07,0
2006-08,0
2006-09,0
2006-10,51
2006-11,51
2006-12,28
2007-01,25
2007-02,33
2007-03,25
2007-04,50
2007-05,32
2007-06,36
2007-07,23
2007-08,23
2007-09,31
2007-10,46
2007-11,44
2007-12,25
2008-01,0
2008-02,46
2008-03,33
2008-04,29
2008-05,34
2008-06,23
2008-07,25
2008-08,28
2008-09,14
2008-10,33
2008-11,41
2008-12,16
2009-01,23
2009-02,40
2009-03,36
2009-04,37
2009-05,27
2009-06,29
2009-07,30
2009-08,0
2009-09,22
2009-10,25
2009-11,31
2009-12,24
2010-01,24
2010-02,20
2010-03,29
2010-04,34
2010-05,45
2010-06,32
2010-07,18
2010-08,16
2010-09,25
2010-10,25
2010-11,32
2010-12,22
2011-01,26
2011-02,25
2011-03,25
2011-04,31
2011-05,23
2011-06,29
2011-07,19
2011-08,21
2011-09,19
2011-10,26
2011-11,32
2011-12,20
2012-01,22
2012-02,35
2012-03,20
2012-04,30
2012-05,21
2012-06,22
2012-07,15
2012-08,19
2012-09,20
2012-10,28
2012-11,26
2012-12,22
2013-01,17
2013-02,23
2013-03,26
2013-04,31
2013-05,27
2013-06,18
2013-07,15
2013-08,13
2013-09,21
2013-10,27
2013-11,22
2013-12,23
2014-01,21
2014-02,21
2014-03,25
2014-04,25
2014-05,23
2014-06,23
2014-07,29
2014-08,22
2014-09,29
2014-10,30
2014-11,31
2014-12,23
2015-01,18
2015-02,15
2015-03,25
2015-04,23
2015-05,17
2015-06,15
2015-07,25
2015-08,30
2015-09,45
2015-10,35
2015-11,34
2015-12,31
2016-01,25
2016-02,34
2016-03,35
2016-04,35
2016-05,38
2016-06,23
2016-07,20
2016-08,27
2016-09,32
2016-10,34
2016-11,51
2016-12,26
2017-01,49
2017-02,98
2017-03,49
2017-04,40
2017-05,34
2017-06,28
2017-07,24
2017-08,26
2017-09,40
2017-10,28
2017-11,33
2017-12,26
2018-01,51
2018-02,48
2018-03,43
2018-04,38
2018-05,30
2018-06,82
2018-07,45
2018-08,42
2018-09,36
2018-10,52
2018-11,63
2018-12,70
2019-01,83
2019-02,52
2019-03,36
2019-04,38
2019-05,38
2019-06,47
2019-07,45
2019-08,44
2019-09,33
2019-10,37
2019-11,29
2019-12,28
